# z D Omega_21 Omega_22
0.000000000000000000e+00 1.000000000000000000e+00 -1.704238897849500001e+00 7.116159530104226860e-01
3.279214411468367452e-02 9.829760005277663470e-01 -1.690127942956067164e+00 6.901638773135952976e-01
6.665961294500544199e-02 9.656251593240230413e-01 -1.676780735455500215e+00 6.768150244068877885e-01
1.016376686940108076e-01 9.479757952246976593e-01 -1.664190633068439729e+00 6.642253902950866484e-01
1.377627298879888773e-01 9.300587418866894662e-01 -1.652351382748756814e+00 6.523699803332405622e-01
1.750724092947915089e-01 9.119010781911334185e-01 -1.641185945358158316e+00 6.412182476167260781e-01
2.136055530855749396e-01 8.935413852785345501e-01 -1.630737968537546934e+00 6.307488087051610348e-01
2.534022812807374958e-01 8.750084789887995207e-01 -1.620920930556410511e+00 6.209299844842826044e-01
2.945040295221688087e-01 8.563384336830296428e-01 -1.611722847379170709e+00 6.117358424207720580e-01
3.369535922152984142e-01 8.375701031525621953e-01 -1.603147147278287665e+00 6.031418705849260764e-01
3.807951670858664706e-01 8.187326254237519141e-01 -1.595106976540387800e+00 5.951159145998459188e-01
4.260744011978048196e-01 7.998699441927044074e-01 -1.587646156840694545e+00 5.876370290175152444e-01
4.728384384801445073e-01 7.810110750088833376e-01 -1.580685593699984626e+00 5.806739443350913410e-01
5.211359688124310718e-01 7.621906525022120737e-01 -1.574202705009895009e+00 5.742004414772458043e-01
5.710172787197569377e-01 7.434485301714462979e-01 -1.568215145954588330e+00 5.681941572322590783e-01
6.225343037301935833e-01 7.248071243875432446e-01 -1.562632779392278071e+00 5.626237678274921272e-01
6.757406824491321018e-01 7.063060560288658696e-01 -1.557488613465135341e+00 5.574691341313541271e-01
7.306918124068422227e-01 6.879689488411948606e-01 -1.552726138197367378e+00 5.527029123590082582e-01
7.874449077373903982e-01 6.698198025603284700e-01 -1.548308746433193495e+00 5.483001178120134878e-01
8.460590587489724701e-01 6.518942305729047426e-01 -1.544268927521005974e+00 5.442424688642890640e-01
9.065952934476859681e-01 6.342019383518305853e-01 -1.540520491522650692e+00 5.405021447359624753e-01
9.691166410787996899e-01 6.167715102218294110e-01 -1.537081842262285170e+00 5.370611922780318404e-01
1.033688197751677418e+00 5.996194965474118677e-01 -1.533924049968502068e+00 5.338984022139556807e-01
1.100377194216681787e+00 5.827550018294624934e-01 -1.531001517667393230e+00 5.309920005331679738e-01
1.169253065864630070e+00 5.662068566076530196e-01 -1.528352522532562485e+00 5.283283185694295225e-01
1.240387525021682702e+00 5.499721918762782158e-01 -1.525905186654961998e+00 5.258851092074285916e-01
1.313854635614932764e+00 5.340664228564990790e-01 -1.523664062588037771e+00 5.236475893147354288e-01
1.389730890286446474e+00 5.185008452378561117e-01 -1.521623192530234148e+00 5.216009558712209060e-01
1.468095290036031120e+00 5.032723352831099950e-01 -1.519740667020523572e+00 5.197282086051421279e-01
1.549029426475664106e+00 4.883975237392234603e-01 -1.518036961173764521e+00 5.180185240054145934e-01
1.632617566781223939e+00 4.738704399872630812e-01 -1.516474320697403400e+00 5.164569431156106338e-01
1.718946741429961733e+00 4.596928705834617546e-01 -1.515042504207745555e+00 5.150316516399526812e-01
1.808106834815082387e+00 4.458738654670083568e-01 -1.513749858157695138e+00 5.137331765734142186e-01
1.900190678831766622e+00 4.324012062918890509e-01 -1.512560602610556693e+00 5.125490353160463419e-01
1.995294149532079953e+00 4.192818040998224638e-01 -1.511483589587563348e+00 5.114712231606018955e-01
2.093516266949404514e+00 4.065100799183946068e-01 -1.510503510595397891e+00 5.104903484102434330e-01
2.194959298196327513e+00 3.940773885222004225e-01 -1.509603537543587004e+00 5.095975146798875643e-01
